青果物旬別取扱高統計（主要卸売市場計）
　
令和08年07月下旬

品目名, 品目コード, 主要卸売市場計卸売数量(t), 主要卸売市場計卸売価額(1000円), 主要卸売市場計価格(円/㎏), 対前年同旬比数量(%), 対前年同旬比価格(%), 対前旬比数量(%), 対前旬比価格(%)
野菜総計, 30000, 99279, 29885155, 301, 106, 111, 144, 96
だいこん, 30100, 6017, 643993, 107, 98, 103, 120, 88
かぶ, 30200, 320, 59991, 187, 128, 94, 120, 98
にんじん, 30300, 5707, 708990, 124, 134, 58, 153, 75
ごぼう, 30400, 342, 128494, 376, 106, 89, 117, 96
たけのこ, 30500, 0, 51, 1082, 94, 109, 235, 110
れんこん, 30600, 282, 170489, 605, 107, 106, 152, 89
はくさい, 31100, 6898, 655767, 95, 94, 127, 137, 108
みずな, 31300, 251, 126734, 504, 106, 126, 123, 115
こまつな, 31500, 1165, 359297, 308, 115, 121, 141, 87
その他の菜類, 31550, 6, 4692, 738, 97, 118, 102, 109
ちんげんさい, 31560, 273, 98930, 362, 122, 101, 125, 88
キャベツ, 31700, 13143, 1349824, 103, 101, 123, 140, 105
ほうれんそう, 31800, 522, 454494, 870, 102, 103, 117, 106
ねぎ, 31900, 2704, 1206195, 446, 110, 102, 132, 95
ふき, 32300, 0, 16, 1499, 9, 545, 55, 250
みつば, 32500, 100, 72298, 725, 146, 97, 152, 127
しゅんぎく, 32600, 31, 33769, 1105, 125, 83, 109, 109
にら, 32800, 472, 312975, 663, 107, 84, 121, 109
セルリー, 32900, 409, 113195, 277, 130, 75, 132, 105
アスパラガス, 33100, 402, 510303, 1270, 100, 111, 160, 88
カリフラワー, 33200, 120, 30886, 258, 133, 80, 108, 102
ブロッコリー, 33300, 2101, 884224, 421, 131, 92, 112, 100
レタス, 33400, 8678, 1453169, 167, 104, 113, 175, 89
きゅうり, 34100, 5819, 2368763, 407, 99, 132, 160, 90
かぼちゃ, 34200, 1946, 701493, 360, 94, 109, 120, 95
　　うち輸入, 34201, 86, 21643, 252, 128, 97, 64, 86
なす, 34300, 3219, 1371460, 426, 98, 114, 162, 87
トマト, 34400, 6947, 3043839, 438, 110, 109, 187, 94
ミニトマト, 34450, 2128, 1721182, 809, 122, 110, 168, 95
ピーマン, 34500, 2059, 1084691, 527, 121, 97, 146, 95
ししとうがらし, 34600, 144, 186374, 1298, 120, 102, 150, 93
スイートコーン, 34700, 2740, 767802, 280, 104, 100, 143, 86
さやいんげん, 35100, 119, 108412, 909, 133, 74, 117, 91
さやえんどう, 35200, 29, 52284, 1816, 136, 75, 85, 101
　　うち輸入, 35201, 4, 3911, 1027, 63, 99, 156, 113
実えんどう, 35300, 0, 3, 691, －, －, －, －
そらまめ, 35400, 2, 1584, 729, 3879, 196, 44, 114
えだまめ, 35500, 746, 674576, 904, 97, 99, 151, 93
